Budget,Budget Tolerance,Communication,Average Team Experience,Team Size,Deadline,Cost,Days Taken,Budget Success,Deadline Success,Team Success,Success
9400000,1.01,1,10.6,2,899,992697,775,1,1,0,0
9400000,1.15,3,11.76,17,437,2760381,233,1,1,0,1
3800000,1.16,1,7.61,20,852,8771175,737,0,1,0,0
7600000,1.16,2,14.03,7,995,6336742,924,1,1,0,1
8500000,1.29,4,15.61,13,712,7231736,543,1,1,1,1
6100000,1.33,3,8.92,14,762,7171997,837,1,0,0,0
8200000,1.34,3,4.35,20,523,4749117,599,1,0,0,0
500000,1.38,3,8.18,18,253,1952388,198,0,1,0,0
7200000,1.45,2,2.07,16,541,2211565,649,1,0,0,0
8700000,1.3,1,9.36,14,670,4958193,499,1,1,0,1
2700000,1.46,2,8.9,5,538,2290659,770,1,0,0,0
7400000,1.06,4,8.35,19,565,3875423,375,1,1,0,0
1600000,1.15,4,12.62,11,547,3499675,376,0,1,1,0
4300000,1.45,4,9.41,2,389,691584,520,1,0,0,0
8700000,1.22,2,4.22,11,319,919548,247,1,1,0,1
3400000,1.24,1,11.02,11,568,6210554,755,0,0,0,0
6000000,1.28,2,14.11,10,794,8092646,842,0,0,0,0
5600000,1.07,0,7.7,10,215,741220,126,1,1,0,1
9400000,1.12,1,11.28,7,660,3369622,708,1,0,0,0
9100000,1.12,0,6.9,13,646,4925268,719,1,0,0,0
4200000,1.47,4,5.99,5,576,1095163,493,1,1,0,1
8000000,1.22,3,15.99,7,648,2376435,347,1,1,1,1
8200000,1.38,3,15.73,8,694,6371107,744,1,0,1,0
9300000,1.06,1,8.95,4,751,2171708,943,1,0,0,0
9200000,1.03,0,12.88,3,210,758317,274,1,0,0,0
5800000,1.34,2,12.82,11,411,2877085,321,1,1,0,0
6300000,1.18,2,2.23,10,728,2023669,843,1,0,0,0
3600000,1.44,4,15.12,12,580,9510328,803,0,0,1,0
9500000,1.4,0,15.54,8,584,3429306,450,1,1,0,1
4500000,1.21,3,10.52,12,621,7357208,823,0,0,0,0
2400000,1.01,4,7.86,8,256,611796,140,1,1,0,0
500000,1.45,0,5.58,10,979,4546973,1191,0,0,0,0
2400000,1.24,0,6.75,3,807,1619436,1128,1,0,0,0
6200000,1.17,3,2.0,9,290,328128,175,1,1,0,1
2500000,1.44,0,13.86,7,315,1674632,275,1,1,0,1
7600000,1.35,3,10.89,10,547,3632985,495,1,1,0,0
3300000,1.16,0,10.98,5,376,1663760,420,1,0,0,0
2200000,1.34,3,14.24,14,916,10577696,792,0,1,1,0
6200000,1.19,0,7.9,7,992,3008957,838,1,1,0,1
200000,1.2,2,12.82,18,489,3819258,284,0,1,0,0
6200000,1.33,4,8.89,19,471,4086199,340,1,1,0,0
8400000,1.17,3,16.0,2,387,919720,418,1,0,1,0
3400000,1.16,0,15.69,19,290,4506243,230,0,1,0,0
2100000,1.02,3,15.6,2,829,1299445,624,1,1,1,1
9500000,1.03,0,10.51,7,460,2676133,538,1,0,0,0
4600000,1.36,4,11.5,6,312,991562,216,1,1,1,1
5000000,1.26,1,4.82,2,524,437529,610,1,0,0,0
3700000,1.03,1,1.31,2,999,284239,691,1,1,0,0
5000000,1.21,4,6.95,6,825,1566713,528,1,1,0,0
1800000,1.19,1,1.42,20,567,2630219,619,0,0,0,0
2200000,1.06,1,2.02,20,818,3877298,783,0,1,0,0
2200000,1.15,2,10.88,3,429,1036119,444,1,0,0,0
8600000,1.32,4,15.78,2,469,1255193,664,1,0,1,0
5400000,1.11,1,14.4,5,242,1044211,206,1,1,0,0
700000,1.39,3,13.04,6,978,5715806,1223,0,0,1,0
2000000,1.3,1,9.79,10,367,2977178,414,0,0,0,0
4900000,1.28,4,7.62,20,740,5982489,544,1,1,0,1
6800000,1.02,3,3.16,10,350,1431045,490,1,0,0,0
10000000,1.02,0,13.81,12,768,8858340,838,1,0,0,0
9800000,1.39,3,10.8,17,529,7180377,561,1,0,0,0
8100000,1.5,1,15.72,2,217,503164,241,1,0,0,0
6800000,1.44,4,6.74,19,351,1880657,195,1,1,0,1
5000000,1.09,0,12.19,3,782,1730569,724,1,1,0,1
7400000,1.06,4,6.23,17,915,9911834,1304,0,0,0,0
7700000,1.45,1,12.71,17,482,5717842,427,1,1,0,0
6900000,1.18,4,13.48,9,452,3617671,477,1,0,1,0
2100000,1.12,2,14.95,17,873,21061439,1209,0,0,0,0
4400000,1.27,3,4.11,12,741,2095668,504,1,1,0,1
6400000,1.07,4,2.59,5,992,1786273,1394,1,0,0,0
8600000,1.36,0,1.31,9,502,1197693,709,1,0,0,0
2100000,1.24,0,2.41,9,921,2008415,1007,1,0,0,0
6300000,1.16,2,8.9,14,688,8323318,884,0,0,0,0
6600000,1.02,4,9.87,8,229,1696910,310,1,0,0,0
3300000,1.21,2,12.04,11,314,2198809,237,1,1,0,1
8100000,1.01,2,4.35,8,382,643199,211,1,1,0,1
8400000,1.33,2,10.86,4,837,1958384,710,1,1,0,0
4300000,1.26,2,9.17,10,365,1368225,219,1,1,0,0
9600000,1.35,3,1.35,13,590,959666,392,1,1,0,1
3800000,1.08,2,9.1,13,588,7520817,860,0,0,0,0
9600000,1.12,2,12.55,6,622,2278792,492,1,1,0,0
5000000,1.2,2,11.45,7,460,3015477,528,1,0,0,0
5800000,1.38,0,8.36,3,706,1565916,866,1,0,0,0
8800000,1.11,0,2.09,2,395,243751,493,1,0,0,0
9600000,1.26,3,6.27,20,819,5198005,603,1,1,0,1
4200000,1.13,4,15.53,7,726,6613905,881,0,0,1,0
1000000,1.03,4,11.53,17,634,7382059,640,0,0,1,0
4000000,1.16,1,6.37,16,474,3646875,512,1,0,0,0
6800000,1.49,3,7.05,18,993,6224244,658,1,1,0,1
8900000,1.27,2,5.17,8,416,840485,248,1,1,0,1
1800000,1.24,4,14.57,5,617,2622306,598,0,1,1,0
6500000,1.23,2,4.03,2,587,240485,328,1,1,0,1
3400000,1.46,0,15.07,15,704,12782754,920,0,0,0,0
7600000,1.39,4,2.49,18,720,3914508,791,1,0,0,0
5600000,1.34,4,14.09,16,982,6531497,503,1,1,1,1
4900000,1.09,0,7.93,16,853,10569773,1251,0,0,0,0
300000,1.33,1,14.45,2,654,1472847,848,0,0,0,0
9900000,1.13,2,9.08,10,652,5285887,775,1,0,0,0
4900000,1.0,0,7.31,7,735,2577063,673,1,1,0,1
800000,1.04,2,3.6,11,887,2354569,660,0,1,0,0
2000000,1.13,2,1.61,19,435,1021541,290,1,1,0,0
9800000,1.17,0,10.38,5,654,2171920,601,1,1,0,1
3000000,1.14,2,7.05,14,549,2059378,298,1,1,0,1
3800000,1.29,3,9.54,13,950,8427683,1072,0,0,0,0
3400000,1.3,2,9.43,7,661,1966909,474,1,1,0,0
2700000,1.12,3,9.97,14,562,5432057,618,0,0,0,0
8000000,1.17,4,10.39,14,820,5083566,551,1,1,1,1
1800000,1.21,1,9.1,17,396,2529876,225,0,1,0,0
8400000,1.4,3,15.4,12,503,7981800,687,1,0,1,0
7600000,1.29,0,2.84,5,301,409674,303,1,0,0,0
10000000,1.09,3,11.83,7,314,1798367,317,1,0,0,0
8000000,1.11,1,5.96,9,422,1446143,400,1,1,0,1
4900000,1.2,1,13.31,17,354,7344923,470,0,0,0,0
7500000,1.26,4,10.03,20,986,12492319,954,0,1,1,0
8600000,1.09,0,8.28,20,513,8789291,746,1,0,0,0
700000,1.36,0,3.83,18,889,3612422,621,0,1,0,0
7000000,1.26,3,13.03,13,359,3483901,326,1,1,1,1
5700000,1.08,3,9.19,5,231,486799,158,1,1,0,0
1800000,1.39,3,8.56,13,470,2847869,409,0,1,0,0
600000,1.27,2,14.58,14,536,4809457,381,0,1,0,0
7800000,1.4,0,15.98,8,630,4740878,588,1,1,0,0
2900000,1.24,4,1.14,17,276,973355,331,1,0,0,0
5600000,1.36,4,3.6,17,225,1312168,264,1,0,0,0
400000,1.43,4,9.7,9,707,5099207,915,0,0,0,0
3300000,1.34,2,11.54,2,682,1138974,692,1,0,0,0
1700000,1.07,2,11.59,19,680,11361217,762,0,0,0,0
4400000,1.0,2,11.2,19,804,7556521,579,0,1,0,0
6800000,1.17,1,6.29,4,525,1561055,758,1,0,0,0
4600000,1.1,1,8.06,3,339,315454,173,1,1,0,1
4100000,1.04,1,1.46,6,334,315784,287,1,1,0,1
1500000,1.04,3,3.05,17,785,2048759,449,0,1,0,0
6600000,1.06,1,4.91,8,467,1908459,660,1,0,0,0
700000,1.23,3,9.41,2,694,696663,564,1,1,0,1
3400000,1.28,0,8.08,18,853,6727146,700,0,1,0,0
7300000,1.12,3,12.36,6,824,2321767,533,1,1,0,1
8900000,1.18,2,14.49,10,757,6559087,640,1,1,0,1
9100000,1.06,1,13.77,10,483,4027991,456,1,1,0,1
8100000,1.16,0,9.54,15,232,3333548,336,1,0,0,0
8000000,1.02,1,13.51,15,324,4892815,355,1,0,0,0
1900000,1.23,2,14.76,6,395,2365029,425,0,0,0,0
9600000,1.25,3,5.04,15,644,3398170,617,1,1,0,0
4200000,1.15,4,8.17,4,553,1589615,720,1,0,0,0
7700000,1.48,0,11.4,3,537,1307684,616,1,0,0,0
2300000,1.12,3,15.62,19,789,11901313,614,0,1,1,0
9800000,1.11,4,9.37,9,940,7772946,1332,1,0,0,0
3800000,1.23,0,9.47,8,939,5971400,1289,0,0,0,0
9300000,1.43,3,4.39,19,708,5828172,934,1,0,0,0
300000,1.35,1,10.13,6,997,3933770,1027,0,0,0,0
5200000,1.33,4,14.34,14,764,6322159,510,1,1,1,1
3200000,1.5,2,13.53,9,362,2208447,309,1,1,0,1
4100000,1.38,2,4.43,5,312,681848,363,1,0,0,0
5900000,1.13,2,1.3,7,563,644407,516,1,1,0,0
5200000,1.39,4,10.35,3,922,2370290,1229,1,0,1,0
4500000,1.25,0,7.8,14,500,4148539,510,1,0,0,0
5300000,1.18,3,4.84,2,458,238019,334,1,1,0,1
1000000,1.3,0,4.28,9,947,2160037,692,0,1,0,0
5000000,1.32,2,12.97,6,735,4911194,912,1,0,0,0
3200000,1.17,3,3.45,19,398,2527005,420,1,0,0,0
1800000,1.18,4,7.79,16,707,6259869,716,0,0,0,0
5300000,1.09,4,11.89,7,609,2666599,463,1,1,1,1
7400000,1.27,1,9.19,18,395,5104322,451,1,0,0,0
4600000,1.45,3,4.23,18,324,1220882,209,1,1,0,0
5700000,1.24,2,13.87,16,746,8513044,655,0,1,0,0
8400000,1.36,2,10.2,3,358,397907,203,1,1,0,0
6000000,1.26,0,7.21,17,896,8949115,1047,0,0,0,0
3200000,1.16,0,2.39,14,719,1572615,463,1,1,0,1
7700000,1.46,1,1.02,12,872,2239561,1170,1,0,0,0
3700000,1.41,0,6.02,18,797,6259543,852,0,0,0,0
4800000,1.43,1,2.26,11,514,1561776,585,1,0,0,0
4700000,1.09,0,3.68,2,478,254970,426,1,1,0,0
6200000,1.3,1,14.83,12,620,9327387,799,0,0,0,0
5200000,1.05,4,6.49,20,208,1735175,173,1,1,0,0
7800000,1.46,4,5.56,20,932,5278318,631,1,1,0,0
1100000,1.3,2,1.03,17,886,1641271,596,0,1,0,0
4700000,1.46,3,11.67,9,382,2296310,360,1,1,0,1
7700000,1.49,4,1.11,13,339,1050090,460,1,0,0,0
7800000,1.03,4,11.52,7,470,2221029,380,1,1,1,1
8200000,1.41,3,3.28,5,422,948977,615,1,0,0,0
4600000,1.15,3,12.06,13,668,4867645,434,1,1,0,0
4100000,1.24,0,12.78,11,460,4534441,457,1,1,0,0
400000,1.08,4,7.31,16,472,2753255,309,0,1,0,0
6900000,1.04,4,9.86,17,227,2518737,225,1,1,0,0
1900000,1.26,3,6.81,17,594,5892730,645,0,0,0,0
6200000,1.4,0,10.98,17,873,8780906,734,0,1,0,0
800000,1.01,1,8.98,19,507,5996972,563,0,0,0,0
400000,1.1,3,14.45,10,933,10375910,1120,0,0,1,0
1700000,1.18,0,5.22,11,690,1757618,378,1,1,0,1
1800000,1.04,3,9.57,8,885,3162766,657,0,1,0,0
3100000,1.15,4,14.95,11,601,9605271,873,0,0,1,0
6100000,1.29,2,6.53,11,616,3505720,744,1,0,0,0
1600000,1.13,3,1.46,13,740,1157415,430,1,1,0,1
3800000,1.46,2,1.93,13,328,780675,283,1,1,0,0
2000000,1.12,4,1.81,2,384,167185,363,1,1,0,1
1900000,1.22,2,6.77,19,709,8102292,931,0,0,0,0
4500000,1.17,0,11.12,7,645,2009659,353,1,1,0,1
5700000,1.23,4,12.2,16,609,6698579,559,1,1,1,1
7200000,1.35,4,11.26,14,956,14478623,1389,0,0,1,0
7200000,1.28,0,3.61,15,952,3330263,786,1,1,0,0
8600000,1.06,3,2.17,17,821,2690407,743,1,1,0,1
1800000,1.42,0,8.72,13,330,1973098,239,1,1,0,1
7400000,1.41,4,6.07,8,355,1108555,303,1,1,0,0
300000,1.04,4,1.46,16,421,1349943,436,0,0,0,0
6100000,1.41,1,12.52,9,677,4668254,699,1,0,0,0
6700000,1.43,1,8.81,17,862,10706987,1038,0,0,0,0
5700000,1.17,2,9.66,19,821,10411771,887,0,0,0,0
8600000,1.22,0,8.0,5,836,1579761,586,1,1,0,1
10000000,1.22,4,7.47,15,370,4016729,498,1,0,0,0
200000,1.07,2,1.55,14,899,1257555,481,0,1,0,0
1300000,1.06,3,1.92,6,921,1524015,1217,0,0,0,0
2500000,1.3,4,3.7,15,294,1427203,332,1,0,0,0
1000000,1.38,1,12.96,15,842,6927874,608,0,1,0,0
2500000,1.16,1,15.11,3,851,1869068,718,1,1,0,0
500000,1.38,0,14.05,11,784,7929740,845,0,0,0,0
8600000,1.06,0,9.88,16,361,4460026,404,1,0,0,0
5500000,1.13,0,9.78,2,397,447915,357,1,1,0,1
5300000,1.45,0,8.16,18,579,4986420,492,1,1,0,1
9400000,1.47,3,12.96,5,886,3965343,873,1,1,1,1
3000000,1.17,2,13.81,8,489,2416556,343,1,1,0,0
4000000,1.0,3,7.73,10,821,3305787,600,1,1,0,1
4200000,1.36,2,7.21,2,923,1155551,1013,1,0,0,0
6000000,1.24,4,1.6,3,310,190769,353,1,0,0,0
1800000,1.35,3,13.37,6,243,1221169,251,1,0,1,0
7400000,1.4,3,7.75,20,795,4858492,400,1,1,0,0
5600000,1.32,2,2.9,13,869,2642654,757,1,1,0,1
7100000,1.11,4,13.72,20,796,16803708,1003,0,0,1,0
2400000,1.27,2,5.25,13,309,1549162,310,1,0,0,0
200000,1.16,1,5.03,18,412,2285447,309,0,1,0,0
5600000,1.32,1,6.03,7,480,1290610,395,1,1,0,0
6400000,1.43,1,13.44,15,337,5102299,432,1,0,0,0
5700000,1.06,0,11.66,9,495,4526899,717,1,0,0,0
9600000,1.13,0,12.07,16,802,10764086,795,1,1,0,1
6000000,1.46,4,1.51,14,362,1360647,541,1,0,0,0
6900000,1.03,1,8.77,15,215,2165782,237,1,0,0,0
7700000,1.45,2,4.38,13,843,4391578,1045,1,0,0,0
4300000,1.42,1,14.4,7,386,2573689,387,1,0,0,0
300000,1.5,3,12.58,14,988,12517349,1177,0,0,1,0
6100000,1.15,0,9.47,3,661,706344,338,1,1,0,1
4900000,1.29,4,9.96,11,403,3344621,447,1,0,0,0
8200000,1.2,0,8.67,14,475,3848243,472,1,1,0,0
8000000,1.1,1,4.58,18,996,6751639,1121,1,0,0,0
6100000,1.09,3,3.03,11,986,3922673,1306,1,0,0,0
200000,1.22,0,12.09,12,982,8868370,928,0,1,0,0
8900000,1.3,4,5.39,10,689,2477707,670,1,1,0,0
5500000,1.23,1,3.58,15,556,3112436,619,1,0,0,0
800000,1.49,2,8.23,6,206,419677,118,1,1,0,0
7600000,1.43,4,6.4,20,725,5281708,625,1,1,0,1
9200000,1.19,0,4.95,14,498,4163630,700,1,0,0,0
7000000,1.32,0,4.81,14,352,2984858,519,1,0,0,0
2400000,1.09,4,4.5,19,948,9467397,1257,0,0,0,0
2000000,1.18,3,13.24,4,924,4611096,1247,0,0,1,0
8300000,1.1,1,2.86,8,972,3015685,1454,1,0,0,0
9900000,1.47,0,8.88,17,312,3719430,367,1,0,0,0
3800000,1.24,0,6.59,3,598,624966,460,1,1,0,1
7000000,1.49,0,12.04,18,698,14388643,972,0,0,0,0
4600000,1.38,4,4.09,20,908,5202572,720,1,1,0,1
9700000,1.1,3,11.11,13,839,6773048,687,1,1,0,0
4800000,1.11,1,13.36,19,854,8638815,480,0,1,0,0
9600000,1.25,3,10.24,11,555,2741765,338,1,1,0,0
700000,1.44,1,12.68,15,444,3038332,250,0,1,0,0
9100000,1.12,2,5.82,18,363,3430245,453,1,0,0,0
7800000,1.01,3,15.19,10,251,2062750,217,1,1,1,1
8300000,1.42,2,6.14,20,279,1886626,229,1,1,0,1
100000,1.34,2,15.5,11,418,5588157,551,0,0,0,0
4000000,1.47,3,15.45,3,238,559790,175,1,1,1,1
1400000,1.44,2,7.21,3,679,1249390,870,1,0,0,0
6100000,1.42,0,11.25,4,626,1916869,675,1,0,0,0
5600000,1.01,1,13.77,9,362,1980498,276,1,1,0,1
9300000,1.02,3,13.76,16,987,16346131,1075,0,0,1,0
6800000,1.13,4,14.35,7,272,1984121,283,1,0,1,0
700000,1.02,3,12.32,7,929,4038696,724,0,1,0,0
9900000,1.5,3,9.65,4,809,1325601,521,1,1,0,1
9700000,1.17,2,12.62,4,291,638711,213,1,1,0,1
1300000,1.3,3,4.02,2,913,720529,981,1,0,0,0
7500000,1.14,3,2.18,15,483,1422941,396,1,1,0,0
2500000,1.23,0,6.7,19,582,3343869,400,0,1,0,0
1600000,1.27,1,10.53,11,492,2938587,409,0,1,0,0
2600000,1.23,4,4.74,14,421,3087530,596,1,0,0,0
6700000,1.02,2,12.84,12,878,5584299,584,1,1,0,1
4300000,1.17,4,3.87,18,477,3759467,575,1,0,0,0
3800000,1.39,0,1.67,2,830,490841,1138,1,0,0,0
8800000,1.15,3,14.61,17,783,8440113,564,1,1,1,1
8100000,1.15,2,8.11,12,229,948926,131,1,1,0,1
7000000,1.24,2,8.1,15,812,5783191,727,1,1,0,1
1000000,1.23,2,6.65,9,258,999935,239,1,1,0,0
8200000,1.03,0,10.08,20,549,8104187,659,1,0,0,0
5700000,1.44,3,2.66,14,614,1083015,309,1,1,0,1
9900000,1.09,0,1.96,8,705,1578473,931,1,0,0,0
7700000,1.42,2,9.31,9,366,1588496,266,1,1,0,0
3200000,1.47,4,11.4,16,540,9685391,791,0,0,1,0
6000000,1.3,4,1.04,2,911,302033,948,1,0,0,0
8000000,1.23,3,1.1,2,881,199703,607,1,1,0,1
6100000,1.4,3,7.3,12,401,3523119,508,1,0,0,0
3600000,1.08,2,2.87,10,587,2185908,864,1,0,0,0
3000000,1.49,2,10.34,8,622,3295377,640,1,0,0,0
1000000,1.37,4,6.06,8,995,2810704,795,0,1,0,0
6400000,1.09,4,12.1,11,722,5588479,625,1,1,1,1
9100000,1.16,1,3.8,19,433,1889914,294,1,1,0,0
9900000,1.18,2,14.14,19,410,4179459,225,1,1,0,0
1800000,1.43,2,2.36,2,952,274084,512,1,1,0,0
3400000,1.21,4,10.98,11,955,8582652,1003,0,0,1,0
600000,1.18,3,14.08,7,509,4462794,649,0,0,1,0
2500000,1.1,0,11.06,9,903,8202136,1273,0,0,0,0
3800000,1.07,1,2.23,17,512,1763666,453,1,1,0,0
600000,1.21,1,10.15,12,845,9838507,1109,0,0,0,0
300000,1.05,4,5.98,17,657,3853278,509,0,1,0,0
4000000,1.18,3,9.52,7,356,2114213,434,1,0,0,0
9200000,1.17,1,12.78,7,463,3511622,562,1,0,0,0
2200000,1.13,1,10.2,4,814,1562428,596,1,1,0,0
8400000,1.22,0,14.95,11,743,9509916,1004,1,0,0,0
5500000,1.14,2,7.03,16,658,6853996,870,0,0,0,0
7600000,1.45,0,13.94,16,713,5871252,456,1,1,0,1
1800000,1.22,2,5.7,6,702,1068159,390,1,1,0,0
8300000,1.13,1,14.64,5,474,3016360,690,1,0,0,0
8900000,1.44,4,13.82,11,298,1780058,168,1,1,1,1
2400000,1.05,1,11.66,13,829,5238571,534,0,1,0,0
4600000,1.19,0,4.68,10,757,2129529,578,1,1,0,1
8700000,1.39,0,11.39,14,476,2870073,269,1,1,0,1
3400000,1.33,1,2.69,13,544,2281466,743,1,0,0,0
4700000,1.44,0,12.44,19,625,7082295,464,0,1,0,0
7900000,1.16,4,15.08,20,222,5146342,273,1,0,1,0
3700000,1.37,0,4.11,7,526,788572,309,1,1,0,0
4200000,1.45,0,15.86,8,967,11927199,1385,0,0,0,0
1000000,1.04,0,11.86,3,251,747240,298,1,0,0,0
1300000,1.15,3,5.4,12,738,4418360,852,0,0,0,0
6700000,1.07,3,7.14,6,762,2934008,943,1,0,0,0
4700000,1.21,0,2.77,18,752,3355667,721,1,1,0,0
5300000,1.15,4,1.54,7,553,813270,573,1,0,0,0
8800000,1.37,1,8.44,12,933,7745357,1036,1,0,0,0
7600000,1.5,4,1.01,2,591,97573,319,1,1,0,0
8500000,1.13,2,13.91,16,565,9865830,661,0,0,0,0
8000000,1.28,4,6.76,4,790,1929328,1084,1,0,0,0
3200000,1.37,3,7.73,20,808,6439466,644,0,1,0,0
3100000,1.41,1,2.84,16,281,780833,178,1,1,0,0
700000,1.21,3,12.21,19,225,2504318,173,0,1,0,0
6000000,1.02,3,1.02,4,222,231051,319,1,0,0,0
7300000,1.17,2,12.59,13,511,8353129,738,1,0,0,0
2300000,1.01,1,9.07,7,867,3443173,860,0,1,0,0
100000,1.41,1,15.89,7,329,3270890,461,0,0,0,0
1500000,1.28,1,7.76,7,471,2241003,638,0,0,0,0
4600000,1.38,1,7.82,13,527,3977659,514,1,1,0,0
2200000,1.14,1,7.37,20,677,9802498,972,0,0,0,0
8400000,1.33,4,9.77,5,715,2939640,953,1,0,0,0
9600000,1.16,3,6.57,15,941,8130481,1189,1,0,0,0
1100000,1.33,1,9.67,9,217,722404,116,1,1,0,0
1200000,1.09,2,12.06,15,427,3112377,242,0,1,0,0
2000000,1.21,0,1.38,20,366,1338568,339,1,1,0,1
3900000,1.1,4,6.45,7,696,2766729,889,1,0,0,0
1000000,1.24,2,6.04,15,818,4884366,714,0,1,0,0
1000000,1.02,3,14.85,3,743,2293134,779,0,0,1,0
3900000,1.29,4,2.47,3,361,136263,186,1,1,0,1
4100000,1.12,0,5.24,8,923,3488624,1059,1,0,0,0
4400000,1.16,4,5.29,2,984,1186331,1352,1,0,0,0
5100000,1.26,0,7.22,17,571,6582157,769,0,0,0,0
8800000,1.11,2,3.8,9,643,2340421,728,1,0,0,0
3300000,1.14,3,11.71,19,971,16529662,1083,0,0,0,0
6000000,1.07,0,5.58,5,919,1006787,476,1,1,0,0
5000000,1.47,1,5.57,4,506,1224994,684,1,0,0,0
1400000,1.09,0,6.54,13,388,1604518,274,0,1,0,0
5400000,1.38,1,7.17,2,571,752068,707,1,0,0,0
3500000,1.05,3,5.02,3,350,467453,394,1,0,0,0
3400000,1.37,3,9.83,20,533,8166358,673,0,0,0,0
9100000,1.15,3,2.54,16,611,3436292,813,1,0,0,0
1400000,1.48,3,15.58,7,678,4372491,688,0,0,1,0
7300000,1.19,1,7.89,19,952,9729600,1021,0,0,0,0
9600000,1.12,4,7.04,11,762,6741331,1117,1,0,0,0
8500000,1.33,4,3.81,4,863,1263252,915,1,0,0,0
7700000,1.44,0,11.13,4,627,1190537,445,1,1,0,1
6200000,1.18,0,7.0,14,454,2005602,300,1,1,0,0
100000,1.22,0,15.63,18,328,5465696,311,0,1,0,0
6500000,1.34,1,13.68,4,375,1287293,339,1,1,0,1
5500000,1.25,0,4.39,9,709,1114912,382,1,1,0,1
6900000,1.0,4,8.9,10,415,1345336,209,1,1,0,0
4100000,1.5,2,14.78,2,556,890254,497,1,1,0,0
6200000,1.04,2,11.63,7,826,6189789,1219,1,0,0,0
7900000,1.32,4,12.31,13,467,4876538,468,1,0,1,0
1000000,1.3,4,8.69,13,868,7751286,1091,0,0,0,0
2200000,1.3,3,3.71,15,643,1743076,350,1,1,0,0
3800000,1.26,3,15.93,7,778,7413360,991,0,0,1,0
3300000,1.34,4,8.7,10,349,2572311,441,1,0,0,0
6700000,1.3,1,5.23,4,860,1136404,728,1,1,0,0
7700000,1.22,1,12.96,17,673,6637570,449,1,1,0,0
5900000,1.34,3,5.09,4,755,1712357,976,1,0,0,0
5700000,1.3,0,2.66,3,958,397871,534,1,1,0,0
3900000,1.4,0,8.56,18,514,2689953,275,1,1,0,1
1300000,1.17,0,6.55,4,513,668413,368,1,1,0,0
300000,1.29,0,12.18,19,639,14204324,900,0,0,0,0
9200000,1.26,2,1.46,9,608,1043575,621,1,0,0,0
4900000,1.28,3,13.31,16,817,5975197,478,1,1,1,1
