,pID,Budget,Overall Deadline,Budget Elapsed,Time Elapsed,Proportion Subdeadlines Met,Commits,Defect Fix Rate,Team Communication,Team Commitment,Team Morale,Project Planning,Top-Level Management Support,Average Team Experience,Team Size,Finance Success,Timescale Success,Team Success,Management Success,Code Success,Success
3,8,574277,102,0.005046345230611708,0.2647058823529412,0.0,6,0.1875,4.99,3.88,2.5,3.05,1.82,3.3333333333333335,3,1,1,1,0,1,1
4,8,574277,102,0.10795487195203708,0.6274509803921569,0.0,244,0.99185667752443,4.99,3.88,2.5,3.05,1.82,3.3333333333333335,3,1,1,1,0,1,1
0,9,214365,97,0.1082172929349474,0.3402061855670103,0.0,124,0.937007874015748,3.79,3.39,3.81,3.92,2.97,3.0,3,1,1,1,0,1,1
1,9,214365,97,0.27901009959648265,0.6082474226804123,0.0,331,0.9695067264573991,3.79,3.39,3.81,3.92,2.97,3.0,3,1,1,1,0,1,1
2,9,214365,97,0.051538264175588364,0.24742268041237114,0.0,54,0.9886363636363636,3.79,3.39,3.81,3.92,2.97,3.0,3,1,1,1,0,1,1
3,9,214365,97,0.7694819583420801,1.3711340206185567,0.0,933,0.9946134347275032,3.79,3.39,3.81,3.92,2.864930068033944,3.0,3,1,1,1,0,1,1
4,9,214365,97,0.19638467100506146,0.4845360824742268,0.0,237,0.9515477792732167,3.79,3.39,3.81,3.92,2.97,3.0,3,1,1,1,0,1,1
0,10,222933,166,0.5868624205478776,0.42771084337349397,0.0,601,0.9932622122403144,2.98,3.95,3.99,2.91,4.31,3.75,4,0,1,1,0,1,1
1,10,222933,166,0.17817909416730587,0.18674698795180722,0.0,169,0.9845261121856866,2.98,3.95,3.99,2.91,4.31,3.75,4,0,1,1,0,1,1
2,10,222933,166,0.0,0.0,0.0,0,0.0,2.98,3.95,3.99,2.91,4.31,3.75,4,0,1,1,0,1,1
3,10,222933,166,0.13780822040702811,0.16265060240963855,0.0,129,0.9512195121951219,2.98,3.95,3.99,2.91,4.31,3.75,4,0,1,1,0,1,1
4,10,222933,166,1.2671206147138379,0.8132530120481928,0.0,1306,0.9946167649320687,2.98,3.95,3.99,2.91,4.199329608151976,3.75,4,0,1,1,0,1,1
0,11,210783,49,0.1187334841993899,2.5306122448979593,0.0,238,1.0,3.03,4.91,2.41,4.23,2.2543320763377026,1.0,1,0,0,0,0,0,0
1,11,210783,49,0.1435172665727312,2.795918367346939,0.0,272,0.9970617042115573,3.03,4.91,2.41,4.23,2.2252009541172435,1.0,1,0,0,0,0,0,0
2,11,210783,49,0.0022297813391022993,0.14285714285714285,0.0,0,0.0,3.03,4.91,2.41,4.23,2.43,1.0,1,0,0,0,0,0,0
3,11,210783,49,0.004905518946025059,0.32653061224489793,0.0,0,0.0,3.03,4.91,2.41,4.23,2.43,1.0,1,0,0,0,0,0,0
4,11,210783,49,0.03529696417642789,1.163265306122449,0.0,76,1.0,3.03,4.91,2.41,4.23,2.4106279040899645,1.0,1,0,0,0,0,0,0
0,12,414491,117,0.02054809392725053,0.1452991452991453,0.0,41,0.9607843137254902,2.43,3.2,2.39,1.46,3.18,3.0,2,1,1,0,0,0,1
1,12,414491,117,0.4929105818944199,1.8205128205128205,0.0,877,0.9979852249832102,2.43,3.2,2.39,1.46,2.8887768139688057,3.0,2,1,1,0,0,0,1
2,12,414491,117,0.13252881244707365,0.5299145299145299,0.0,233,0.9841269841269841,2.43,3.2,2.39,1.46,3.18,3.0,2,1,1,0,0,0,1
3,12,414491,117,0.10213008243846067,0.41025641025641024,0.0,173,0.9675572519083969,2.43,3.2,2.39,1.46,3.18,3.0,2,1,1,0,0,0,1
4,12,414491,117,0.32049670559795024,1.1794871794871795,0.0,562,1.0,2.43,3.2,2.39,1.46,3.1138835895677626,3.0,2,1,1,0,0,0,1
0,13,535691,280,0.22165390122290649,0.13214285714285715,0.0,564,0.973225404732254,2.77,4.58,1.34,3.88,4.92,2.875,16,0,1,0,1,1,1
1,13,535691,280,0.001667005792518448,0.05,0.0,0,0.0,2.77,4.58,1.34,3.88,4.92,2.875,16,0,1,0,1,1,1
2,13,535691,280,0.803427722324997,0.29285714285714287,0.8333333333333334,2056,0.9909322303531658,2.77,4.58,1.34,3.88,4.92,2.875,16,0,1,0,1,1,1
3,13,535691,280,0.0004816209344566177,0.017857142857142856,0.0,0,0.0,2.77,4.58,1.34,3.88,4.92,2.875,16,0,1,0,1,1,1
4,13,535691,280,0.028228960352143305,0.07857142857142857,0.0,66,0.803347280334728,2.77,4.58,1.34,3.88,4.92,2.875,16,0,1,0,1,1,1
0,14,195968,164,0.001158352384062704,0.018292682926829267,0.0,0,0.0,3.17,2.0,1.21,2.42,2.91,2.5,34,0,1,0,1,1,0
1,14,195968,164,4.24269778739386,0.4878048780487805,1.0,3292,0.9930216329378926,3.17,2.0,1.21,2.42,2.76800837805336,2.5,34,0,1,0,1,1,0
2,14,195968,164,2.8082033801436967,0.35365853658536583,1.0,2189,0.9919934063346285,3.17,2.0,1.21,2.42,2.8296105061373478,2.5,34,0,1,0,1,1,0
3,14,195968,164,2.4828951665578054,0.3231707317073171,0.0,1942,0.986118455843469,3.17,2.0,1.21,2.42,2.8438011020604246,2.5,34,0,1,0,1,1,0
4,14,195968,164,1.895217586544742,0.2682926829268293,0.0,1500,0.9830246913580247,3.17,2.0,1.21,2.42,2.8695237536670932,2.5,34,0,1,0,1,1,0
0,15,400160,282,0.7580242902838864,0.36524822695035464,1.0,1497,0.9952118745511133,2.72,4.65,1.04,4.75,1.83,2.7,10,1,1,0,1,1,1
1,15,400160,282,0.12560725709716114,0.1453900709219858,0.0,242,0.9470404984423676,2.72,4.65,1.04,4.75,1.83,2.7,10,1,1,0,1,1,1
2,15,400160,282,0.9012994802079168,0.4148936170212766,1.0,1778,0.9890460067715594,2.72,4.65,1.04,4.75,1.83,2.7,10,1,1,0,1,1,1
3,15,400160,282,0.21669582167133147,0.1773049645390071,0.0,427,0.9897476340694006,2.72,4.65,1.04,4.75,1.83,2.7,10,1,1,0,1,1,1
4,15,400160,282,0.2571796281487405,0.19148936170212766,0.0,508,0.9789830508474576,2.72,4.65,1.04,4.75,1.83,2.7,10,1,1,0,1,1,1
0,16,586445,129,0.266359164115987,0.7596899224806202,0.0,1035,0.9997043169722057,2.6,3.66,3.96,4.27,4.04,2.6,5,1,1,1,0,1,1
1,16,586445,129,0.13946917443238496,0.4883720930232558,0.0,554,0.9792626728110599,2.6,3.66,3.96,4.27,4.04,2.6,5,1,1,1,0,1,1
2,16,586445,129,0.2751170186462499,0.7674418604651163,0.0,1048,0.9846243109950682,2.6,3.66,3.96,4.27,4.04,2.6,5,1,1,1,0,1,1
3,16,586445,129,0.0627884967899803,0.31007751937984496,0.0,244,0.9925465838509316,2.6,3.66,3.96,4.27,4.04,2.6,5,1,1,1,0,1,1
4,16,586445,129,0.0007161796928953269,0.046511627906976744,0.0,0,0.0,2.6,3.66,3.96,4.27,4.04,2.6,5,1,1,1,0,1,1
0,17,536288,27,0.23842785965749747,1.3703703703703705,0.0,748,0.9924930857368629,2.34,3.45,3.68,2.7,4.375998370527087,2.909090909090909,11,0,0,0,0,0,0
1,17,536288,27,0.13102288322692285,0.9259259259259259,0.0,405,0.9231987331749802,2.34,3.45,3.68,2.7,4.42,2.909090909090909,11,0,0,0,0,0,0
2,17,536288,27,0.42638656841100303,2.1481481481481484,0.0,1342,0.9915927136851939,2.34,3.45,3.68,2.7,4.285015570427536,2.909090909090909,11,0,0,0,0,0,0
3,17,536288,27,0.274229518467689,1.5185185185185186,0.0,862,0.9838709677419355,2.34,3.45,3.68,2.7,4.358520615535585,2.909090909090909,11,0,0,0,0,0,0
4,17,536288,27,0.2831799331702369,1.5555555555555556,0.0,892,0.9881114130434783,2.34,3.45,3.68,2.7,4.354162094920049,2.909090909090909,11,0,0,0,0,0,0
0,18,382409,59,0.0001359800632307294,0.01694915254237288,0.0,0,0.0,2.72,2.6,1.55,2.18,3.68,2.5,16,0,1,0,0,1,0
1,18,382409,59,0.5203250969511701,0.847457627118644,0.0,804,0.9836937256292095,2.72,2.6,1.55,2.18,3.68,2.5,16,0,1,0,0,1,0
2,18,382409,59,1.1286711348320777,1.4915254237288136,0.0,1744,0.9950186799501868,2.72,2.6,1.55,2.18,3.5747607202484044,2.5,16,0,1,0,0,1,0
3,18,382409,59,0.4575650677677565,0.7796610169491526,0.0,707,0.9706853839801817,2.72,2.6,1.55,2.18,3.68,2.5,16,0,1,0,0,1,0
4,18,382409,59,0.9039353153299217,1.2542372881355932,0.0,1410,0.9955130706203668,2.72,2.6,1.55,2.18,3.6251847306121676,2.5,16,0,1,0,0,1,0
0,19,105839,27,1.4314950065665775,2.7777777777777777,0.0,546,0.994136460554371,4.47,2.88,1.01,2.26,3.49791699154921,3.2,5,0,0,0,0,0,0
1,19,105839,27,0.09855535294173226,0.6666666666666666,0.0,36,0.7483870967741936,4.47,2.88,1.01,2.26,3.67,3.2,5,0,0,0,0,0,0
2,19,105839,27,0.030527499314997306,0.5555555555555556,0.0,9,0.5652173913043478,4.47,2.88,1.01,2.26,3.67,3.2,5,0,0,0,0,0,0
3,19,105839,27,0.1665832065684672,0.7777777777777778,0.0,62,0.9960629921259843,4.47,2.88,1.01,2.26,3.67,3.2,5,0,0,0,0,0,0
4,19,105839,27,1.2500873968952844,2.4814814814814814,0.0,474,0.9968866749688667,4.47,2.88,1.01,2.26,3.526026673400427,3.2,5,0,0,0,0,0,0
0,20,502960,85,0.0015766661364720852,0.17647058823529413,0.0,0,0.0,2.75,2.85,2.22,2.02,4.49,2.272727272727273,11,1,1,0,0,1,1
1,20,502960,85,0.36157149673930333,0.7647058823529411,0.0,1116,0.9912072243346007,2.75,2.85,2.22,2.02,4.49,2.272727272727273,11,1,1,0,0,1,1
2,20,502960,85,0.5927031970733259,1.1294117647058823,0.0,1836,0.9933379597501735,2.75,2.85,2.22,2.02,4.440856210629627,2.272727272727273,11,1,1,0,0,1,1
3,20,502960,85,0.0010438205821536504,0.12941176470588237,0.0,0,0.0,2.75,2.85,2.22,2.02,4.49,2.272727272727273,11,1,1,0,0,1,1
4,20,502960,85,0.28681008430093846,0.6470588235294118,0.0,882,0.9858943577430972,2.75,2.85,2.22,2.02,4.49,2.272727272727273,11,1,1,0,0,1,1
0,21,365432,152,0.0008154731933711334,0.03289473684210526,0.0,0,0.0,2.79,2.74,1.59,1.68,3.53,4.1,10,0,1,0,1,1,0
1,21,365432,152,0.7408409772543182,0.34210526315789475,0.0,827,0.9930313588850174,2.79,2.74,1.59,1.68,3.53,4.1,10,0,1,0,1,1,0
2,21,365432,152,0.01807997110269489,0.06578947368421052,0.0,20,0.673469387755102,2.79,2.74,1.59,1.68,3.53,4.1,10,0,1,0,1,1,0
3,21,365432,152,1.2588224348168742,0.5394736842105263,1.0,1399,0.9932462854570013,2.79,2.74,1.59,1.68,3.4774190486578673,4.1,10,0,1,0,1,1,0
4,21,365432,152,0.0003530068521640141,0.013157894736842105,0.0,0,0.0,2.79,2.74,1.59,1.68,3.53,4.1,10,0,1,0,1,1,0
0,22,353433,256,0.3994901438179231,0.44140625,0.6666666666666666,916,0.9890625,3.29,3.3,4.02,4.57,1.36,2.75,4,1,1,1,1,1,1
1,22,353433,256,0.0,0.0,0.0,0,0.0,3.29,3.3,4.02,4.57,1.36,2.75,4,1,1,1,1,1,1
2,22,353433,256,0.1492701587005175,0.234375,0.0,326,0.9745685740236149,3.29,3.3,4.02,4.57,1.36,2.75,4,1,1,1,1,1,1
3,22,353433,256,0.0012675669787484474,0.0390625,0.0,0,0.0,3.29,3.3,4.02,4.57,1.36,2.75,4,1,1,1,1,1,1
4,22,353433,256,0.4275011105358017,0.46484375,0.75,979,0.9962503605422556,3.29,3.3,4.02,4.57,1.36,2.75,4,1,1,1,1,1,1
0,23,106928,58,0.0,0.0,0.0,0,0.0,3.51,4.43,2.46,3.74,1.16,2.75,4,0,0,0,0,0,0
1,23,106928,58,0.25975422714349844,0.6379310344827587,0.0,159,0.968503937007874,3.51,4.43,2.46,3.74,1.16,2.75,4,0,0,0,0,0,0
2,23,106928,58,0.0006639982043992219,0.034482758620689655,0.0,0,0.0,3.51,4.43,2.46,3.74,1.16,2.75,4,0,0,0,0,0,0
3,23,106928,58,0.028290064342361216,0.3793103448275862,0.0,8,0.04,3.51,4.43,2.46,3.74,1.16,2.75,4,0,0,0,0,0,0
4,23,106928,58,0.011755573844081999,0.3275862068965517,0.0,0,0.0,3.51,4.43,2.46,3.74,1.16,2.75,4,0,0,0,0,0,0
0,24,241340,49,1.2845777740946382,2.3877551020408165,0.0,1403,0.9927663734115347,3.64,1.6,4.52,4.22,1.5227927615530616,3.6666666666666665,6,0,1,1,0,1,0
1,24,241340,49,0.004313416756443192,0.40816326530612246,0.0,0,0.0,3.64,1.6,4.52,4.22,1.63,3.6666666666666665,6,0,1,1,0,1,0
2,24,241340,49,0.22368028507499793,0.8163265306122449,0.0,245,0.9796163069544365,3.64,1.6,4.52,4.22,1.63,3.6666666666666665,6,0,1,1,0,1,0
3,24,241340,49,0.5031159360238667,1.2244897959183674,0.0,542,0.9887983706720977,3.64,1.6,4.52,4.22,1.6121593815871476,3.6666666666666665,6,0,1,1,0,1,0
4,24,241340,49,1.3255987403662883,2.4489795918367347,0.0,1446,0.9971488310207185,3.64,1.6,4.52,4.22,1.5182289501238944,3.6666666666666665,6,0,1,1,0,1,0
0,25,70373,165,0.7642561777954613,0.20606060606060606,0.0,274,0.9678135405105438,2.73,3.45,4.51,3.06,4.72,3.857142857142857,7,0,1,1,1,1,1
1,25,70373,165,3.9048072414136104,0.5333333333333333,0.7777777777777778,1424,0.9977673033986604,2.73,3.45,4.51,3.06,4.489690565089987,3.857142857142857,7,0,1,1,1,1,1
2,25,70373,165,0.001293109573273841,0.006060606060606061,0.0,0,0.0,2.73,3.45,4.51,3.06,4.72,3.857142857142857,7,0,1,1,1,1,1
3,25,70373,165,0.016099924687024852,0.12727272727272726,0.0,0,0.0,2.73,3.45,4.51,3.06,4.72,3.857142857142857,7,0,1,1,1,1,1
4,25,70373,165,0.0019751893481875153,0.012121212121212121,0.0,0,0.0,2.73,3.45,4.51,3.06,4.72,3.857142857142857,7,0,1,1,1,1,1
0,26,325530,29,0.00016588332872546308,0.034482758620689655,0.0,0,0.0,1.99,2.59,4.07,1.64,2.39,4.0,1,0,0,0,0,0,0
1,26,325530,29,0.07295487359075968,1.5517241379310345,0.0,88,0.967741935483871,1.99,2.59,4.07,1.64,2.35204546593938,4.0,1,0,0,0,0,0,0
2,26,325530,29,0.11350413172365066,2.310344827586207,0.0,132,1.0,1.99,2.59,4.07,1.64,2.300840183184776,4.0,1,0,0,0,0,0,0
3,26,325530,29,0.15299050778730072,3.0,0.0,177,0.9761499148211243,1.99,2.59,4.07,1.64,2.255257927310064,4.0,1,0,0,0,0,0,0
4,26,325530,29,0.1245630203053482,2.5172413793103448,0.0,146,0.98828125,1.99,2.59,4.07,1.64,2.28706960870611,4.0,1,0,0,0,0,0,0
0,27,457365,106,0.0021077257770052366,0.1509433962264151,0.0,0,0.0,4.82,1.94,4.48,3.72,1.12,2.9444444444444446,36,0,0,0,0,0,0
1,27,457365,106,0.001023252763110426,0.07547169811320754,0.0,0,0.0,4.82,1.94,4.48,3.72,1.12,2.9444444444444446,36,0,0,0,0,0,0
2,27,457365,106,0.0006624905709881605,0.05660377358490566,0.0,0,0.0,4.82,1.94,4.48,3.72,1.12,2.9444444444444446,36,0,0,0,0,0,0
3,27,457365,106,0.03758048823150001,0.2169811320754717,0.0,87,0.43243243243243246,4.82,1.94,4.48,3.72,1.12,2.9444444444444446,36,0,0,0,0,0,0
4,27,457365,106,0.14187355831775497,0.24528301886792453,0.0,352,0.8475658419792498,4.82,1.94,4.48,3.72,1.12,2.9444444444444446,36,0,0,0,0,0,0
0,28,201479,167,1.994396438338487,0.2754491017964072,1.0,1504,0.9821594787465094,4.49,1.07,4.28,2.19,4.841867653732948,3.0714285714285716,28,0,1,1,1,1,1
1,28,201479,167,1.9303699144824027,0.2694610778443114,1.0,1453,0.9753781783070486,4.49,1.07,4.28,2.19,4.84671436810105,3.0714285714285716,28,0,1,1,1,1,1
2,28,201479,167,1.350637039095886,0.2155688622754491,0.0,1020,0.9821552723059096,4.49,1.07,4.28,2.19,4.89055370167377,3.0714285714285716,28,0,1,1,1,1,1
3,28,201479,167,0.0012557139950069237,0.029940119760479042,0.0,0,0.0,4.49,1.07,4.28,2.19,4.92,3.0714285714285716,28,0,1,1,1,1,1
4,28,201479,167,0.9647605953970388,0.17964071856287425,0.0,731,0.9715460006323111,4.49,1.07,4.28,2.19,4.92,3.0714285714285716,28,0,1,1,1,1,1
0,29,391881,42,0.4160319076454332,2.4047619047619047,0.0,730,0.9905704856199906,2.22,3.56,3.96,1.46,1.1972022552787014,3.6666666666666665,3,0,0,0,0,0,0
1,29,391881,42,0.0,0.0,0.0,0,0.0,2.22,3.56,3.96,1.46,1.27,3.6666666666666665,3,0,0,0,0,0,0
2,29,391881,42,0.2928159313669201,1.7380952380952381,0.0,511,0.9956521739130435,2.22,3.56,3.96,1.46,1.2312148810956942,3.6666666666666665,3,0,0,0,0,0,0
3,29,391881,42,0.12156496487454099,0.8333333333333334,0.0,212,0.9801801801801802,2.22,3.56,3.96,1.46,1.27,3.6666666666666665,3,0,0,0,0,0,0
4,29,391881,42,0.005455737838782691,0.23809523809523808,0.0,9,0.8095238095238095,2.22,3.56,3.96,1.46,1.27,3.6666666666666665,3,0,0,0,0,0,0
0,30,426245,54,0.25715023050123753,0.9629629629629629,0.0,400,0.9843089921544961,4.19,1.54,2.4,4.32,1.19,3.0,10,1,1,0,0,1,1
1,30,426245,54,0.33105139063214817,1.0925925925925926,0.0,513,0.992169507139567,4.19,1.54,2.4,4.32,1.1840618881059488,3.0,10,1,1,0,0,1,1
2,30,426245,54,0.002960738542387594,0.42592592592592593,0.0,0,0.0,4.19,1.54,2.4,4.32,1.19,3.0,10,1,1,0,0,1,1
3,30,426245,54,0.24659292191110746,0.9444444444444444,0.0,382,0.987389659520807,4.19,1.54,2.4,4.32,1.19,3.0,10,1,1,0,0,1,1
4,30,426245,54,0.03544675010850567,0.5740740740740741,0.0,49,0.8601036269430051,4.19,1.54,2.4,4.32,1.19,3.0,10,1,1,0,0,1,1
0,31,486865,286,0.9325850081644809,0.3531468531468531,1.0,1529,0.9913232104121475,4.14,2.19,1.77,1.9,1.67,3.2,10,1,1,0,1,1,1
1,31,486865,286,0.9128670165240877,0.34615384615384615,1.0,1497,0.9942304113158384,4.14,2.19,1.77,1.9,1.67,3.2,10,1,1,0,1,1,1
2,31,486865,286,0.4965585942715126,0.1993006993006993,0.0,808,0.9954128440366973,4.14,2.19,1.77,1.9,1.67,3.2,10,1,1,0,1,1,1
3,31,486865,286,0.11888100397440769,0.06643356643356643,0.0,182,0.9703125,4.14,2.19,1.77,1.9,1.67,3.2,10,1,1,0,1,1,1
4,31,486865,286,0.4472636151705298,0.18181818181818182,0.0,732,0.9826635145784082,4.14,2.19,1.77,1.9,1.67,3.2,10,1,1,0,1,1,1
0,32,85989,164,3.196583283908407,0.6524390243902439,0.0,944,0.9983017265779791,3.26,2.36,2.83,2.87,1.654142567325572,3.3333333333333335,6,0,1,0,0,1,0
1,32,85989,164,4.961692774657224,0.9512195121951219,0.0,1438,0.9981167608286252,3.26,2.36,2.83,2.87,1.5750047246049759,3.3333333333333335,6,0,1,0,0,1,0
2,32,85989,164,5.401842096082057,1.0182926829268293,0.0,1549,0.9965265717262939,3.26,2.36,2.83,2.87,1.5577660385374192,3.3333333333333335,6,0,1,0,0,1,0
3,32,85989,164,0.9562967356289758,0.2682926829268293,0.0,282,0.9857288481141692,3.26,2.36,2.83,2.87,1.76,3.3333333333333335,6,0,1,0,0,1,0
4,32,85989,164,4.089371896405354,0.8048780487804879,0.0,1193,0.9942794279427942,3.26,2.36,2.83,2.87,1.6132814622220366,3.3333333333333335,6,0,1,0,0,1,0
0,33,103599,103,3.0117182598287626,2.262135922330097,0.0,1059,0.9979152189020153,2.45,1.34,1.56,2.36,3.616935733452014,3.0,3,0,1,0,0,0,0
1,33,103599,103,0.06001023175899381,0.1650485436893204,0.0,20,0.8709677419354839,2.45,1.34,1.56,2.36,4.19,3.0,3,0,1,0,0,0,0
